date,close,volume,open,high,low,stock_name
2015-08-07,635.3,1403800.0,640.23,642.68,629.71,Google
2015-08-10,633.73,1809200.0,639.48,643.44,631.25,Google
2015-08-11,660.78,5027531.0,669.2,674.9,654.27,Google
2015-08-12,659.56,2940800.0,663.08,665.0,652.29,Google
2015-08-13,656.45,1810700.0,659.32,664.5,651.66,Google
2015-08-14,657.12,1072000.0,655.01,659.85,652.66,Google
2015-08-17,660.87,1051600.0,656.8,661.38,651.24,Google
2015-08-18,656.13,1456000.0,661.9,664.0,653.46,Google
2015-08-19,660.9,2134000.0,656.6,667.0,654.19,Google
2015-08-20,646.83,2855200.0,655.46,662.99,642.9,Google
2015-08-21,612.48,4265100.0,639.78,640.05,612.33,Google
2015-08-24,589.61,5770302.0,573.0,614.0,565.05,Google
2015-08-25,582.06,3537900.0,614.91,617.45,581.11,Google
2015-08-26,628.62,4235800.0,610.35,631.71,599.05,Google
2015-08-27,637.61,3491300.0,639.4,643.59,622.0,Google
2015-08-28,630.38,1978700.0,632.82,636.88,624.56,Google
2015-08-31,618.25,2176700.0,627.54,635.8,617.68,Google
2015-09-01,597.79,3702100.0,602.36,612.86,594.1,Google
2015-09-02,614.34,2575600.0,605.59,614.34,599.71,Google
2015-09-03,606.25,1759500.0,617.0,619.71,602.82,Google
2015-09-04,600.7,2089400.0,600.0,603.47,595.25,Google
2015-09-08,614.66,2279500.0,612.49,616.31,604.12,Google
2015-09-09,612.72,1702000.0,621.22,626.52,609.6,Google
2015-09-10,621.35,1905176.0,613.1,624.16,611.43,Google
2015-09-11,625.77,1373500.0,619.75,625.78,617.42,Google
2015-09-14,623.24,1702200.0,625.7,625.86,619.43,Google
2015-09-15,635.14,2084300.0,626.7,638.7,623.78,Google
2015-09-16,635.98,1286400.0,635.47,637.95,632.32,Google
2015-09-17,642.9,2274600.0,637.79,650.9,635.02,Google
2015-09-18,629.25,5133300.0,636.79,640.0,627.02,Google
2015-09-21,635.44,1788500.0,634.4,636.49,625.94,Google
2015-09-22,622.69,2562800.0,627.0,627.55,615.43,Google
2015-09-23,622.36,1470900.0,622.05,628.93,620.0,Google
2015-09-24,625.8,2240069.0,616.64,627.32,612.4,Google
2015-09-25,611.97,2174000.0,629.77,629.77,611.0,Google
2015-09-28,594.89,3127667.0,610.34,614.61,589.38,Google
2015-09-29,594.97,2310200.0,597.28,605.0,590.22,Google
2015-09-30,608.42,2413400.0,603.28,608.76,600.73,Google
2015-10-01,611.29,1867600.0,608.37,612.09,599.85,Google
2015-10-02,626.91,2684800.0,607.2,627.34,603.13,Google
2015-10-05,641.47,1803385.0,632.0,643.01,627.0,Google
2015-10-06,645.44,2236800.0,638.84,649.25,636.53,Google
2015-10-07,642.36,2092700.0,649.24,650.61,632.15,Google
2015-10-08,639.16,2182000.0,641.36,644.45,625.56,Google
2015-10-09,643.61,1648600.0,640.0,645.99,635.32,Google
2015-10-12,646.67,1276079.0,642.09,648.5,639.01,Google
2015-10-13,652.3,1807600.0,643.15,657.81,643.15,Google
2015-10-14,651.16,1415400.0,653.21,659.39,648.85,Google
2015-10-15,661.74,1885700.0,654.66,663.13,654.46,Google
2015-10-16,662.2,1611100.0,664.11,664.97,657.2,Google
2015-10-19,666.1,1477300.0,661.18,666.82,659.58,Google
2015-10-20,650.28,1688225.0,664.04,664.72,644.2,Google
2015-10-21,642.61,1794100.0,654.15,655.87,641.73,Google
2015-10-22,651.79,4070900.0,646.7,657.8,644.01,Google
2015-10-23,702.0,6653900.0,727.5,730.0,701.5,Google
2015-10-26,712.78,2716600.0,701.55,719.15,701.26,Google
2015-10-27,708.49,2245700.0,707.38,713.62,704.55,Google
2015-10-28,712.95,2178900.0,707.33,712.98,703.08,Google
2015-10-29,716.92,1455900.0,710.5,718.26,710.01,Google
2015-10-30,710.81,1908700.0,715.73,718.0,710.05,Google
2015-11-02,721.11,1886250.0,711.06,721.62,705.85,Google
2015-11-03,722.16,1565300.0,718.86,724.65,714.72,Google
2015-11-04,728.11,1706371.0,722.0,733.1,721.9,Google
2015-11-05,731.25,1861500.0,729.47,739.48,729.47,Google
2015-11-06,733.76,1511500.0,731.5,735.41,727.01,Google
2015-11-09,724.89,2069807.0,730.2,734.71,719.43,Google
2015-11-10,728.32,1607900.0,724.4,730.59,718.5,Google
2015-11-11,735.4,1366900.0,732.46,741.0,730.23,Google
2015-11-12,731.23,1837100.0,731.0,737.8,728.65,Google
